MQTT_TOPIC,MQTT_PAYLOAD_UTF8,MQTT_RETAIN,MQTT_PACKET_ID,MQTT_TIMESTAMP_MS,MQTT_TIMESTAMP_ISO_8601,TOPIC_COMPANY,TOPIC_LOCATION,TOPIC_AREA,TOPIC_TYPE,TOPIC_DEVICE,TOPIC_PAYLOAD_VERSION,TOPIC_MANUFACTURER,PAYLOAD_HEADERID,PAYLOAD_TIMESTAMP,PAYLOAD_VERSION,PAYLOAD_MANUFACTURER,PAYLOAD_SERIALNUMBER,PAYLOAD_AGVPOSITION_X,PAYLOAD_AGVPOSITION_Y,PAYLOAD_AGVPOSITION_THETA,PAYLOAD_AGVPOSITION_MAPID,PAYLOAD_AGVPOSITION_POSITIONINITIALIZED,PAYLOAD_AGVPOSITION_LOCALIZATIONSCORE,PAYLOAD_VELOCITY_VX,PAYLOAD_VELOCITY_VY,PAYLOAD_VELOCITY_OMEGA,PAYLOAD_SCHEMAVALIDATION
kb_cvs/aldersbach/logistic/rtls/v2/synaos/sc-aware-JQ6G0078/visualization,"{""headerId"":2438,""timestamp"":""2025-10-05T15:11:23.053195Z"",""version"":""2.0.0"",""manufacturer"":""synaos"",""serialNumber"":""sc-aware-JQ6G0078"",""agvPosition"":{""x"":137.134,""y"":80.05,""theta"":-1.5610580252318993,""mapId"":""KB_Forklift_05_09_2025"",""positionInitialized"":true,""localizationScore"":1},""velocity"":{""vx"":-0.0014254617197248219,""vy"":-0.0021742791270378055,""omega"":0.00003494778059601143},""schemavalidation"":true}",false,0,1759677083193,2025-10-05 15:11:23.193,kb_cvs,aldersbach,logistic,rtls,v2,synaos,sc-aware-JQ6G0078,2438,2025-10-05T15:11:23.053195Z,2.0.0,synaos,sc-aware-JQ6G0078,137,80,-1.561058025,KB_Forklift_05_09_2025,true,1,0,0,0,true
kb_cvs/aldersbach/logistic/rtls/v2/synaos/sc-aware-JQ6G0078/visualization,"{""headerId"":2437,""timestamp"":""2025-10-05T15:11:21.987772Z"",""version"":""2.0.0"",""manufacturer"":""synaos"",""serialNumber"":""sc-aware-JQ6G0078"",""agvPosition"":{""x"":137.134,""y"":80.05,""theta"":-1.5610330845676934,""mapId"":""KB_Forklift_05_09_2025"",""positionInitialized"":true,""localizationScore"":1},""velocity"":{""vx"":-0.0001750153248365768,""vy"":0.001178210659790358,""omega"":0.00009753315883387341},""schemavalidation"":true}",false,0,1759677082139,2025-10-05 15:11:22.139,kb_cvs,aldersbach,logistic,rtls,v2,synaos,sc-aware-JQ6G0078,2437,2025-10-05T15:11:21.987772Z,2.0.0,synaos,sc-aware-JQ6G0078,137,80,-1.561033085,KB_Forklift_05_09_2025,true,1,0,0,0,true
kb_cvs/aldersbach/logistic/rtls/v2/synaos/sc-aware-JQ6G0078/visualization,"{""headerId"":2436,""timestamp"":""2025-10-05T15:11:20.987188Z"",""version"":""2.0.0"",""manufacturer"":""synaos"",""serialNumber"":""sc-aware-JQ6G0078"",""agvPosition"":{""x"":137.134,""y"":80.05,""theta"":-1.561001481991891,""mapId"":""KB_Forklift_05_09_2025"",""positionInitialized"":true,""localizationScore"":1},""velocity"":{""vx"":0.0005595871433449187,""vy"":0.00164583705933277,""omega"":0.0005533144059456565},""schemavalidation"":true}",false,0,1759677081124,2025-10-05 15:11:21.124,kb_cvs,aldersbach,logistic,rtls,v2,synaos,sc-aware-JQ6G0078,2436,2025-10-05T15:11:20.987188Z,2.0.0,synaos,sc-aware-JQ6G0078,137,80,-1.561001482,KB_Forklift_05_09_2025,true,1,0,0,0,true
kb_cvs/aldersbach/logistic/rtls/v2/synaos/sc-aware-JQ6G0078/visualization,"{""headerId"":2435,""timestamp"":""2025-10-05T15:11:19.920516Z"",""version"":""2.0.0"",""manufacturer"":""synaos"",""serialNumber"":""sc-aware-JQ6G0078"",""agvPosition"":{""x"":137.132,""y"":80.05,""theta"":-1.5612076205807135,""mapId"":""KB_Forklift_05_09_2025"",""positionInitialized"":true,""localizationScore"":1},""velocity"":{""vx"":0.0060919380216177595,""vy"":0.010484256767044717,""omega"":0.0025196199020822378},""schemavalidation"":true}",false,0,1759677080063,2025-10-05 15:11:20.063,kb_cvs,aldersbach,logistic,rtls,v2,synaos,sc-aware-JQ6G0078,2435,2025-10-05T15:11:19.920516Z,2.0.0,synaos,sc-aware-JQ6G0078,137,80,-1.561207621,KB_Forklift_05_09_2025,true,1,0,0,0,true
kb_cvs/aldersbach/logistic/rtls/v2/synaos/sc-aware-JQ6G0078/visualization,"{""headerId"":2434,""timestamp"":""2025-10-05T15:11:18.853719Z"",""version"":""2.0.0"",""manufacturer"":""synaos"",""serialNumber"":""sc-aware-JQ6G0078"",""agvPosition"":{""x"":137.133,""y"":80.054,""theta"":-1.561293835578354,""mapId"":""KB_Forklift_05_09_2025"",""positionInitialized"":true,""localizationScore"":1},""velocity"":{""vx"":-0.09873245195334017,""vy"":0.007135433823475168,""omega"":0.005026440068834873},""schemavalidation"":true}",false,0,1759677079008,2025-10-05 15:11:19.008,kb_cvs,aldersbach,logistic,rtls,v2,synaos,sc-aware-JQ6G0078,2434,2025-10-05T15:11:18.853719Z,2.0.0,synaos,sc-aware-JQ6G0078,137,80,-1.561293836,KB_Forklift_05_09_2025,true,1,0,0,0,true
kb_cvs/aldersbach/logistic/rtls/v2/synaos/sc-aware-JQ6G0078/visualization,"{""headerId"":2433,""timestamp"":""2025-10-05T15:11:17.788152Z"",""version"":""2.0.0"",""manufacturer"":""synaos"",""serialNumber"":""sc-aware-JQ6G0078"",""agvPosition"":{""x"":137.127,""y"":79.926,""theta"":-1.563891600853876,""mapId"":""KB_Forklift_05_09_2025"",""positionInitialized"":true,""localizationScore"":1},""velocity"":{""vx"":-0.08928495726329516,""vy"":0.0073889773670247965,""omega"":0.0029210056397511773},""schemavalidation"":true}",false,0,1759677077956,2025-10-05 15:11:17.956,kb_cvs,aldersbach,logistic,rtls,v2,synaos,sc-aware-JQ6G0078,2433,2025-10-05T15:11:17.788152Z,2.0.0,synaos,sc-aware-JQ6G0078,137,80,-1.563891601,KB_Forklift_05_09_2025,true,1,0,0,0,true
kb_cvs/aldersbach/logistic/rtls/v2/synaos/sc-aware-JQ6G0078/visualization,"{""headerId"":2432,""timestamp"":""2025-10-05T15:11:16.719992Z"",""version"":""2.0.0"",""manufacturer"":""synaos"",""serialNumber"":""sc-aware-JQ6G0078"",""agvPosition"":{""x"":137.116,""y"":79.779,""theta"":-1.568635612158956,""mapId"":""KB_Forklift_05_09_2025"",""positionInitialized"":true,""localizationScore"":1},""velocity"":{""vx"":-0.23957364282900426,""vy"":0.021579339094251387,""omega"":0.008399501103554328},""schemavalidation"":true}",false,0,1759677076867,2025-10-05 15:11:16.867,kb_cvs,aldersbach,logistic,rtls,v2,synaos,sc-aware-JQ6G0078,2432,2025-10-05T15:11:16.719992Z,2.0.0,synaos,sc-aware-JQ6G0078,137,80,-1.568635612,KB_Forklift_05_09_2025,true,1,0,0,0,true
kb_cvs/aldersbach/logistic/rtls/v2/synaos/sc-aware-JQ6G0078/visualization,"{""headerId"":2431,""timestamp"":""2025-10-05T15:11:15.653171Z"",""version"":""2.0.0"",""manufacturer"":""synaos"",""serialNumber"":""sc-aware-JQ6G0078"",""agvPosition"":{""x"":137.093,""y"":79.533,""theta"":-1.5786179674288077,""mapId"":""KB_Forklift_05_09_2025"",""positionInitialized"":true,""localizationScore"":1},""velocity"":{""vx"":-0.2233508733197809,""vy"":0.014772550814529557,""omega"":0.007302076301575743},""schemavalidation"":true}",false,0,1759677075810,2025-10-05 15:11:15.810,kb_cvs,aldersbach,logistic,rtls,v2,synaos,sc-aware-JQ6G0078,2431,2025-10-05T15:11:15.653171Z,2.0.0,synaos,sc-aware-JQ6G0078,137,80,-1.578617967,KB_Forklift_05_09_2025,true,1,0,0,0,true
kb_cvs/aldersbach/logistic/rtls/v2/synaos/sc-aware-JQ6G0078/visualization,"{""headerId"":2430,""timestamp"":""2025-10-05T15:11:14.592643Z"",""version"":""2.0.0"",""manufacturer"":""synaos"",""serialNumber"":""sc-aware-JQ6G0078"",""agvPosition"":{""x"":137.056,""y"":79.249,""theta"":-1.592707445447675,""mapId"":""KB_Forklift_05_09_2025"",""positionInitialized"":true,""localizationScore"":1},""velocity"":{""vx"":-0.40191262193117316,""vy"":0.051316247243798505,""omega"":0.019849559061182537},""schemavalidation"":true}",false,0,1759677074757,2025-10-05 15:11:14.757,kb_cvs,aldersbach,logistic,rtls,v2,synaos,sc-aware-JQ6G0078,2430,2025-10-05T15:11:14.592643Z,2.0.0,synaos,sc-aware-JQ6G0078,137,79,-1.592707445,KB_Forklift_05_09_2025,true,1,0,0,0,true
kb_cvs/aldersbach/logistic/rtls/v2/synaos/sc-aware-JQ6G0078/visualization,"{""headerId"":2429,""timestamp"":""2025-10-05T15:11:13.586771Z"",""version"":""2.0.0"",""manufacturer"":""synaos"",""serialNumber"":""sc-aware-JQ6G0078"",""agvPosition"":{""x"":136.954,""y"":78.58,""theta"":-1.6076958691218168,""mapId"":""KB_Forklift_05_09_2025"",""positionInitialized"":true,""localizationScore"":1},""velocity"":{""vx"":-0.9784128024659347,""vy"":0.08884046826547196,""omega"":0.050077575978711326},""schemavalidation"":true}",false,0,1759677073730,2025-10-05 15:11:13.730,kb_cvs,aldersbach,logistic,rtls,v2,synaos,sc-aware-JQ6G0078,2429,2025-10-05T15:11:13.586771Z,2.0.0,synaos,sc-aware-JQ6G0078,137,79,-1.607695869,KB_Forklift_05_09_2025,true,1,-1,0,0,true
